Station or stop;Name;Coordinate Latitude;Coordinate Longitude;Number of train rides;Minutes of delay
80154815;BRUEHL;50.829316;6.912903;42.384126984126986;8.115873015873015
80160846;GERSTUNGEN;50.96584;10.0665;48.349673202614376;172.08169934640523
80190728;BOBENHEIM;49.588138;8.350807;26.3556338028169;9.69718309859155
80231514;LANDSBERG(B HALLE, SAALE);51.532504;12.166117;12.635658914728682;20.3953488372093
80729277;BUEHL (BADEN) F;48.699693;8.128033;33.7192429022082;8.053627760252366
80110478;HAITZ-HOECHST;50.208634;9.226821;47.38364779874214;6.8742138364779874
80080234;HAGEN-HENGSTEY;51.412269;7.466749;60.639240506329116;36.81962025316456
80051722;LAMERDEN;51.525174;9.33039;27.53413654618474;18.301204819277107
80235648;PADITZ;50.9662;12.461714;19.06694560669456;10.732217573221757
80130286;IMMENSEN-ARPKE;52.391356;10.084479;28.581881533101047;15.567944250871081
80017129;RAINWEG;53.565;9.94313;13.727810650887575;10.733727810650887
80339085;BONN-BAD GODESBERG;50.683814;7.159353;36.19108280254777;6.219745222929936
80110106;ERBACH (RHEINGAU);50.02442;8.0954;65.72508591065292;6.419243986254296
80110122;NIEDERWALLUF;50.037161;8.159567;64.30952380952381;35.414965986394556
80168120;SCHULPFORTE;51.146103;11.74571;32.38364779874214;3.2358490566037736
80363549;NUERNBERG REICHSWALD;49.403796;11.180412;58.0062893081761;95.38679245283019
80263749;NEUMARKT-ST VEIT;48.361381;12.505351;12.898305084745763;13.271186440677965
80111773;KLEINOSTHEIM;50.004135;9.072525;28.637630662020907;11.205574912891986
80134148;HILDESHEIM;52.160685;9.952413;16.024640657084188;15.745379876796715
80202333;MUENCHEN SUED;48.123131;11.559732;53.75235109717868;313.55485893416926
80142810;BUEHL(BADEN);48.69744;8.13007;28.900332225913623;0.0
80236794;MILTITZ(B LEIPZIG);51.325221;12.255667;27.120805369127517;1.4060402684563758
80223792;ROTH;49.242819;11.08402;30.605263157894736;35.02302631578947
80254466;NEUNKIRCHEN(SAAR)HBF;49.35472;7.17709;36.46875;201.05
80234807;BENNEWITZ;51.356667;12.709877;26.736507936507937;3.6634920634920634
80153130;KOELN-NIPPES;50.968;6.940365;37.067796610169495;16.54915254237288
80623827;RADEBEUL-NAUNDORF;51.110323;13.599365;29.526315789473685;3.0921052631578947
80210203;KATTENVENNE;52.114462;7.8611;32.163120567375884;4.638297872340425
80628610;DOERPEN-LEHE;53.013119;7.344892;28.236641221374047;4.522900763358779
80270611;ROSTOCK SEEHAFEN;54.11933;12.158728;27.698305084745762;219.01016949152543
80204859;MARZLING;48.4104;11.7977;16.806060606060605;0.0
80234419;LEIPZIG-THEKLA;51.3723;12.428327;70.54861111111111;78.76041666666667
80231415;LU WITTENBERG;51.8693;12.66382;25.051612903225806;46.71612903225807
80112953;DARMSTADT SUED;49.854156;8.63713;58.072555205047315;8.334384858044164
80135079;HANNOVER-LINDEN;52.354878;9.715622;156.83177570093457;390.43146417445485
80179812;EBERBACH;49.4673;8.98547;11.346938775510203;5.877551020408164
80154682;KOELN WEST;50.9453;6.93463;83.15203761755485;44.80407523510972
80130476;FRIEDLAND (HAN);51.421582;9.914787;74.603125;22.790625
80138214;BREMEN NEUSTADT;53.078344;8.787244;40.733552631578945;36.598684210526315
80190322;HIRZENACH;50.17623;7.647771;33.04;4.423333333333333
80295162;ROMMELSHAUSEN;48.815556;9.319108;10.934782608695652;0.0
80160499;WANDERSLEBEN;50.90793;10.8539;27.20567375886525;20.673758865248228
80251132;BENGEL;50.01158;7.05863;32.20983606557377;6.19672131147541
80157313;LEVERKUSEN WERKSTAETTE;51.0485;7.014127;76.74679487179488;9.849358974358974
80206763;HOCKERODA;50.597724;11.434584;31.11627906976744;3.872093023255814
80290270;STUTTGART-ZAZENHAUSEN;48.84385;9.189895;61.810679611650485;30.43042071197411
80180919;HOCKENHEIM;49.317434;8.537152;90.171875;49.89375
80103085;OBERHAUSEN WEST;51.478245;6.826025;34.051831375259155;376.13199723566
80113076;HEPPENHEIM(BERGSTR);49.643017;8.634079;59.0583596214511;17.70031545741325
80204503;PETERSHAUSEN (OBERBAY);48.41289;11.4706;32.83227848101266;16.955696202531644
