Station or stop,Name,Coordinate Latitude,Coordinate Longitude,Number of trains,Minutes of delay,geometry,route_ids
80137679,BREMEN-WALLE,53.104272,8.786607,13.070352,0.0,POINT (8.78661 53.10427),1740.0
80253534,SAARHOELZBACH,49.516977,6.608909,20.222222,1.892361,POINT (6.60891 49.51698),3230.0
80223438,OCHENBRUCK,49.362726,11.254222,58.238994,18.342767,POINT (11.25422 49.36273),5850.0
80201970,ASSLING (OBERBAY),47.990845,11.994193,38.16879,17.834395,POINT (11.99419 47.99085),5510.0
80140210,HEIDELBERG HBF,49.404174,8.676164,21.747126,22.957854,POINT (8.67616 49.40417),4000.0
80297499,BOXBERG-WOELCHINGEN,49.485596,9.640048,15.467742,4.301075,POINT (9.64005 49.48560),4120.0
80254581,HOMBURG(SAAR)HBF,49.329298,7.338643,33.907937,180.053968,POINT (7.33864 49.32930),3282.0
80031773,WIESENAU,52.231896,14.583879,20.013468,0.0,POINT (14.58388 52.23190),6153.0
80137430,LANGWEDEL,52.9799,9.19637,49.122257,35.931034,POINT (9.19637 52.97990),1960.0
80140939,GONDELSHEIM (BADEN),49.06102,8.660228,33.526984,0.0,POINT (8.66023 49.06102),4130.0
80253211,SCHOENEFELD,52.392146,13.51598,28.724359,62.201923,POINT (13.51598 52.39215),6126.0
80021402,AUGSBURG HBF,48.36624,10.887011,34.066591,153.874718,POINT (10.88701 48.36624),5304.0
80151035,MOERS,51.451105,6.641666,31.151685,72.683521,POINT (6.64167 51.45110),2330.0
80140103,MANNHEIM HGBF,49.49819,8.44884,11.486034,89.189944,POINT (8.44884 49.49819),4032.0
80225227,MARKT EINERSHEIM,49.685713,10.284601,48.138158,59.263158,POINT (10.28460 49.68571),5910.0
80075473,BAD BELZIG,52.136086,12.595084,15.791165,2.51004,POINT (12.59508 52.13609),6553.0
80156257,MAGDEBURG-NEUSTADT,52.148558,11.640936,41.925,31.2125,POINT (11.64094 52.14856),6406.0
80143255,RINGSHEIM,48.248928,7.77403,49.736677,0.0,POINT (7.77403 48.24893),4000.0
80157867,SCHOENEBECK(ELBE),52.018479,11.735269,33.253472,18.111111,POINT (11.73527 52.01848),6423.0
80290064,MUEHLACKER,48.953607,8.84346,33.81774,16.363305,POINT (8.84346 48.95361),4840.0
